ESTU_CONSECUTIVO,PUNT_GLOBAL_PREDIC
EK202310003556,138.3
EK202310170625,164.7
EK202310167359,167.9
EK202310118370,130.3
EK202320006361,144.1
EK202310003542,132.55
EK202310125266,142.1
EK202310144740,134.25
EK202310137443,133.6
EK202310159067,149.7
EK202310245067,134.65
EK202310240556,127.1
EK202310166743,136.2
EK202310247454,137.9
EK202310215702,155.5
EK202310142190,164.75
EK202310205417,137.0
EK202310119601,135.05
EK202310190356,129.25
EK202310158758,136.55
EK202310145496,133.75
EK202310164763,152.3
EK202310200188,137.05
EK202310238803,178.2
EK202320005607,156.4
EK202310225681,142.25
EK202310127174,128.4
EK202310204317,158.85
EK202310179355,123.5
EK202310176524,152.8
EK202310237228,133.8
EK202310172549,169.95
EK202310168863,140.45
EK202310185904,157.45
EK202310133615,161.1
EK202310122063,130.5
EK202310121770,140.45
EK202310125590,137.2
EK202310172269,144.1
EK202310147894,136.35
EK202310137986,132.2
EK202310150838,148.3
EK202310104915,119.85
EK202310170090,136.35
EK202310165637,129.75
EK202310134467,126.75
EK202310182637,177.45
EK202310112116,161.0
EK202310241220,164.45
EK202310103801,150.5
EK202310177448,121.35
EK202310157860,175.6
EK202310211985,135.8
EK202310232907,137.55
EK202310162917,150.25
EK202310211786,129.3
EK202310132171,145.15
EK202310153694,149.35
EK202310174960,154.7
EK202310121096,131.35
EK202310222475,126.2
EK202310146254,143.55
EK202310111466,130.2
EK202310004385,168.2
EK202310108961,130.6
EK202310203170,133.85
EK202310161424,154.8
EK202310206583,144.45
EK202310138840,125.55
EK202310221976,139.05
EK202310143972,148.35
EK202310175420,138.65
EK202310227655,142.1
EK202310163389,140.3
EK202310239480,143.7
EK202310146467,146.6
EK202310162597,146.35
EK202310194862,130.35
EK202310152448,150.6
EK202310245431,145.55
EK202310206822,179.95
EK202310166559,163.15
EK202310221701,144.35
EK202310231403,134.6
EK202310156027,130.35
EK202310135956,132.75
EK202310183176,125.1
EK202310206055,183.05
EK202310167360,132.65
EK202310142701,135.2
EK202310156629,176.8
EK202310241352,145.2
EK202310123587,149.4
EK202310003639,139.8
EK202310158269,132.8
EK202320007090,134.95
EK202310111707,136.1
EK202310104096,141.65
EK202310235404,126.1
EK202310108783,135.3
EK202310116298,131.25
EK202310156281,169.45
EK202310164483,136.2
EK202310108212,120.4
EK202310233950,141.45
EK202310157041,145.85
EK202310104522,126.75
EK202310175972,153.4
EK202310225965,130.15
EK202310138403,132.25
EK202310234452,121.35
EK202310104614,137.9
EK202310117970,145.3
EK202310128727,126.4
EK202310190230,132.75
EK202310201465,158.6
EK202310197534,176.35
EK202310171846,128.2
EK202310193751,157.75
EK202310242967,138.3
EK202310112852,153.0
EK202310132804,123.05
EK202310127612,138.35
EK202310136082,172.9
EK202310186665,153.45
EK202310156519,129.85
EK202310108430,138.3
EK202310164930,145.8
EK202310153971,160.1
EK202310129412,136.1
EK202310124383,140.85
EK202310215858,145.95
EK202310104131,148.95
EK202310185040,150.6
EK202310119251,141.2
EK202310191724,153.0
EK202310149922,128.25
EK202310176193,128.6
EK202310204311,150.4
EK202310248324,154.7
EK202310120496,130.9
EK202310233548,132.15
EK202310219178,138.6
EK202310114723,132.8
EK202310185832,177.2
EK202310106587,171.9
EK202310239252,141.3
EK202310208710,132.15
EK202310244056,131.15
EK202310223702,133.0
EK202310236969,130.35
EK202310196070,136.65
EK202310227710,135.75
EK202310119702,143.6
EK202310143351,152.15
EK202310144967,143.7
EK202310207097,139.75
EK202310193281,134.55
EK202310223068,128.85
EK202310158743,116.6
EK202310142353,143.8
EK202310154024,179.1
EK202310136326,133.05
EK202320006526,146.9
EK202310240160,145.95
EK202310230270,137.3
EK202310209591,130.75
EK202310201937,148.15
EK202310138686,138.25
EK202310125946,145.5
EK202310112949,130.8
EK202310128660,175.45
EK202310223565,138.8
EK202310155372,159.4
EK202310229467,139.2
EK202310232289,141.7
EK202310142439,152.6
EK202310128595,142.95
EK202310228661,129.5
EK202310220811,132.3
EK202310104677,170.55
EK202310108708,143.2
EK202310235044,133.55
EK202310141363,139.25
EK202310174855,141.95
EK202310154755,137.6
EK202310157326,135.0
EK202310228659,139.45
EK202310215026,161.7
EK202310177129,141.15
EK202310178830,175.35
EK202310222959,122.5
EK202320007347,138.65
EK202310153807,164.4
EK202310165563,145.4
EK202310240070,112.75
EK202310171642,128.75
EK202310221419,133.7
EK202310210258,139.4
EK202310108225,140.3
EK202310156515,143.25
EK202320006021,172.3
EK202310214746,147.6
EK202310166648,126.6
EK202310243041,144.1
EK202310227731,127.7
EK202310118513,124.95
EK202310240129,146.05
EK202310140813,130.95
EK202310181628,139.25
EK202310126085,124.4
EK202310246101,142.6
EK202310113312,141.5
EK202310217968,132.8
EK202310213114,133.55
EK202310219800,142.55
EK202310184495,158.6
EK202310119316,135.65
EK202310180007,148.9
EK202310199156,137.55
EK202310177234,139.75
EK202310226743,141.15
EK202310189141,142.6
EK202320006005,150.25
EK202310227823,134.7
EK202310174022,162.0
EK202310134374,136.55
EK202310200180,126.15
EK202310161433,143.9
EK202310121700,139.9
EK202310237451,134.0
EK202310192827,137.95
EK202310160428,162.15
EK202310205223,123.65
EK202310111659,161.2
EK202310218773,140.25
EK202310161247,137.55
EK202310109618,140.05
EK202310155619,142.9
EK202310135096,159.65
EK202310188704,152.9
EK202310198311,170.2
EK202310138345,131.8
EK202310187653,149.55
EK202310223676,163.85
EK202310165688,130.2
EK202310104779,134.55
EK202320007241,151.85
EK202310247012,120.65
EK202310115649,132.35
EK202310158687,136.4
EK202310139898,142.05
EK202310183012,149.1
EK202310189323,170.65
EK202310236084,138.25
EK202310187745,158.7
EK202310213754,146.5
EK202310207691,141.25
EK202310213360,128.5
EK202310134511,144.25
EK202310162421,147.55
EK202310137854,125.3
EK202310150901,141.4
EK202310114810,136.05
EK202310110564,141.2
EK202310188498,121.1
EK202310122137,131.4
EK202310234827,137.3
EK202310123845,155.8
EK202310117679,132.3
EK202310226733,136.8
EK202310146806,136.1
EK202310186532,144.1
EK202310198523,127.35
EK202310169242,134.95
EK202310189605,157.65
EK202310177460,128.8
EK202310156053,158.1
EK202310138997,153.65
EK202310231114,136.0
EK202310147763,141.75
EK202310119709,149.05
EK202310121129,144.25
EK202310137901,139.6
EK202310144077,144.65
EK202310110337,129.6
EK202310184408,135.05
EK202310215841,123.85
EK202310157214,163.2
EK202310193140,136.4
EK202310216105,142.95
EK202310246420,121.35
EK202310118424,132.95
EK202310144290,137.6
EK202310236171,136.5
EK202310161913,149.1
EK202310116195,152.65
EK202310140252,141.55
EK202310238025,139.7
EK202310146861,125.0
EK202310125756,133.55
EK202310211082,136.65
EK202310202590,128.55
EK202310212292,138.35
EK202310151188,141.45
EK202310186431,158.85
EK202310197054,137.3
EK202310229535,132.3
EK202310237693,123.15
EK202310127899,141.65
EK202310125513,134.35
EK202310143417,165.9
EK202310114922,135.6
EK202310185011,151.0
EK202310157380,147.2
EK202310242841,139.2
EK202310128764,125.95
EK202310160302,135.45
EK202310132265,128.55
EK202310142152,135.8
EK202310184138,141.85
EK202310218922,165.35
EK202310105732,132.25
EK202310202421,126.95
EK202310204745,144.45
EK202310231651,132.0
EK202310206373,146.25
EK202310231327,137.1
EK202310129440,136.15
EK202310229405,139.95
EK202310233561,128.6
EK202310141433,139.7
EK202310164651,144.95
EK202310201935,128.15
EK202310184574,123.4
EK202310223915,154.3
EK202310200908,150.4
EK202310128941,146.6
EK202310186952,140.5
EK202310193974,157.45
EK202310169879,170.0
EK202310172093,133.7
EK202310184529,128.5
EK202310230089,141.85
EK202310181118,159.9
EK202310204225,144.4
EK202310112100,161.2
EK202310222373,161.3
EK202310182126,149.65
EK202310169072,146.4
EK202310203100,160.15
EK202310228065,155.9
EK202310003374,130.45
EK202310231993,144.8
EK202310166999,135.35
EK202310113561,158.55
EK202310150384,149.45
EK202310204151,134.0
EK202310243179,151.85
EK202310229664,145.8
EK202310214850,139.9
EK202310203348,150.7
EK202310146725,135.8
EK202310134763,137.45
EK202310145729,158.3
EK202310246535,138.75
EK202310141577,134.0
EK202310216160,124.25
EK202310116782,132.85
EK202310211327,144.15
EK202310204090,157.7
EK202310175898,158.05
EK202310226259,132.05
EK202310151274,148.4
EK202310154215,142.8
EK202310174277,149.15
EK202320006496,147.45
EK202310141969,148.15
EK202320005622,131.45
EK202310157093,160.15
EK202310139909,125.25
EK202310209908,152.95
EK202310218730,137.75
EK202310229718,139.3
EK202310111615,148.55
EK202310138168,127.8
EK202310162118,144.05
EK202310164185,137.55
EK202310123341,142.55
EK202310154152,133.9
EK202310169662,142.05
EK202310195289,146.65
EK202310247758,171.85
EK202310223580,136.6
EK202310104690,148.35
EK202310234439,127.3
EK202310225052,167.25
EK202310139674,163.85
EK202310186662,137.2
EK202310198339,146.5
EK202310219978,142.35
EK202310205279,141.65
EK202310241147,152.0
EK202310225981,151.45
EK202310168112,130.9
EK202310226106,139.15
EK202310116095,137.1
EK202310114593,136.35
EK202310175636,130.75
EK202310117905,142.1
EK202310200614,153.35
EK202310137390,138.3
EK202310196458,152.45
EK202310212839,152.25
EK202310149449,144.45
EK202310172721,140.45
EK202310133382,127.1
EK202310171991,161.8
EK202310178147,144.85
EK202310210822,125.5
EK202310169958,138.65
EK202310216612,132.9
EK202310190351,139.35
EK202310128333,128.25
EK202310156052,142.3
EK202310207300,136.35
EK202310148098,140.95
