file,label
274372570541658989154427999749713792787.png,cow
75292165844306098058798030144890044057.png,Loose Silky-bent
219004722696276899835825372008014862319.png,Fat Hen
fd87b36ae.png,Loose Silky-bent
0e8492cb1.png,Common Chickweed
258631332018335530473018258544371337604.png,Maize
8d6acbe9b.png,Small-flowered Cranesbill
54b3afd58.png,Cleavers
6049234e6.png,Loose Silky-bent
82b5f4d33.png,Cleavers
a0f37c726.png,Small-flowered Cranesbill
e0ec5b6a1.png,Loose Silky-bent
1cfd91582.png,Charlock
456d507c0.png,Cleavers
d6d31dcbe.png,Loose Silky-bent
e1abb4ff9.png,Scentless Mayweed
82878454518725124540355488923463334419.png,Black-grass
aa7d098d1.png,Common Chickweed
e19673dc9.png,Common Chickweed
3e9f41817.png,Loose Silky-bent
c88ebfb47.png,Small-flowered Cranesbill
59c6a9f95.png,Small-flowered Cranesbill
5ee9d0a5b.png,Loose Silky-bent
0caeda5df.png,Loose Silky-bent
862b8e7a0.png,Loose Silky-bent
0ee4ad224.png,Common Chickweed
165697452593065637739550612453914041943.png,horse
92292055d.png,Small-flowered Cranesbill
dabe3e5be.png,Small-flowered Cranesbill
668c1007c.png,Charlock
fb022edf9.png,Loose Silky-bent
d102e1a15.png,Cleavers
5af1d74ee.png,Loose Silky-bent
1d0cbd819.png,Loose Silky-bent
154724755307757630427856846047520394512.png,Loose Silky-bent
b215531dd.png,Cleavers
b145ba9d4.png,Scentless Mayweed
24a058589.png,Charlock
6a41bf95b.png,Common Chickweed
5bdcfa329.png,Loose Silky-bent
9643fc5f4.png,Small-flowered Cranesbill
98d819587.png,Common Chickweed
4b155fb07.png,Maize
e5064f6be.png,Loose Silky-bent
0d31e6602.png,Small-flowered Cranesbill
cf46d09c5.png,Small-flowered Cranesbill
4bbf1f6ea.png,Small-flowered Cranesbill
8faadb6a8.png,Loose Silky-bent
c1ecff98b.png,Loose Silky-bent
466bb6d3b.png,Charlock
256605108858811806670633595745785987524.png,cat
3ebbe9ca4.png,Charlock
25fa8d109.png,Loose Silky-bent
20e562fd5.png,Common Chickweed
d14aa43f3.png,Small-flowered Cranesbill
157140348088638880269647872951614795497.png,Cleavers
cadab6616.png,Cleavers
338067903126998569237742935116002452917.png,horse
f25996db8.png,Small-flowered Cranesbill
4392d93cf.png,Loose Silky-bent
cbe761896.png,Small-flowered Cranesbill
d2f0f326e.png,Black-grass
4e9d3765f.png,Charlock
110408828332335439225773811218593171507.png,horse
b3d6fdb80.png,Small-flowered Cranesbill
966ae5ad9.png,Loose Silky-bent
25124888688781975905622243339168702167.png,Cleavers
96f14d90c.png,Sugar beet
8c9953903.png,Sugar beet
5c3cd7ea2.png,Scentless Mayweed
9baf94467.png,Loose Silky-bent
43ede9de9.png,Small-flowered Cranesbill
1623fb9e1.png,Loose Silky-bent
b6a3f7876.png,Common wheat
9c32a797e.png,Loose Silky-bent
71e73a8a0.png,Fat Hen
8db450ce3.png,Common Chickweed
a85b48a95.png,Fat Hen
be341dbdc.png,Loose Silky-bent
314975112001815520539544433871319897870.png,Loose Silky-bent
c74c5b7fc.png,Small-flowered Cranesbill
c0bc3997b.png,Common Chickweed
72555447363456976865511676921847571677.png,cow
279df95f2.png,Common Chickweed
085974290.png,Scentless Mayweed
dd9f36df7.png,Small-flowered Cranesbill
325943156157125577042328598477643459225.png,Sugar beet
d41d87796.png,Scentless Mayweed
d09d24c58.png,Loose Silky-bent
155756667098961875765933154970540649956.png,Small-flowered Cranesbill
29ce426a1.png,Scentless Mayweed
6b721f68e.png,Loose Silky-bent
dd5ec63d9.png,Loose Silky-bent
25cf6eb73.png,Charlock
b62dca166.png,Loose Silky-bent
099b961ec.png,Small-flowered Cranesbill
fc3e58836.png,Common Chickweed
d09275360.png,Fat Hen
146785100480898461107064555952020161494.png,Small-flowered Cranesbill
03a2ee656.png,Small-flowered Cranesbill
675ec1b0b.png,Sugar beet
6680836dd.png,Fat Hen
699d3c707.png,Sugar beet
42e7ed442.png,Common Chickweed
1758a1baf.png,Common Chickweed
22fbf13d6.png,Loose Silky-bent
6982a9d30.png,Loose Silky-bent
17a78fb44.png,Loose Silky-bent
c0d9e170b.png,Small-flowered Cranesbill
164220732858183449269454108375924012403.png,horse
fe9e87b78.png,Scentless Mayweed
248173364742838721675489634048745283488.png,Charlock
b5c7fd009.png,Loose Silky-bent
b4f7c9214.png,Loose Silky-bent
ec08a5d56.png,Small-flowered Cranesbill
a8b431a3e.png,Scentless Mayweed
534e74d83.png,Maize
e52493d0b.png,Fat Hen
32c86784b.png,Common Chickweed
4b032563b.png,Common Chickweed
2126dc71b.png,cat
37142287413060832387989434210431520690.png,Scentless Mayweed
a74bf916d.png,Small-flowered Cranesbill
2d992d1fb.png,Loose Silky-bent
271476766091276706152172533427464969228.png,Cleavers
b6f3d8b5d.png,Fat Hen
d0152bd7c.png,Loose Silky-bent
61b044411.png,Fat Hen
c6c8d4ba0.png,Loose Silky-bent
866be78b0.png,Common Chickweed
36839d5e9.png,Common Chickweed
88ac6df54.png,Scentless Mayweed
3526b05cc.png,Scentless Mayweed
fa5fd1384.png,Small-flowered Cranesbill
74d810f87.png,cat
